id;mmsi;imo;vessel_name;callsign;vessel_type;vessel_type_code;vessel_type_cargo;vessel_class;length;width;flag_country;flag_code;destination;eta;draught;longitude;latitude;sog;cog;rot;heading;nav_status;nav_status_code;source;ts_pos_utc;ts_static_utc;ts_eta;ts_insert_utc;registry_name;registry_name_en;vessel_type_main;vessel_type_sub;message_type
773504879;309224000;8802868;SEA SPIRIT;C6PJ8;Passenger;60;;A;91;16;Azores;309;FRANZ JOSEPH LAND;08161800;4.30000019073486;16.2933333333333;76.41;13;133;0;0;Under Way Using Engine;0;S-AIS;15.08.2019 03:48:41;15.08.2019 03:37:54;16.08.2019 18:00:00;15.08.2019 03:49:12;;SEA SPIRIT;Passenger Ship;Cruise Ship;27
773544047;273316240;9152959;50 LET POBEDY;UGYU;Passenger;69;No Additional Information;A;160;30;Russian Federation;273;MURMANSK;08220400;10.8000001907349;46.5777666666667;78.34645;17;21.6000003814697;0;20;Under Way Using Engine;0;S-AIS;15.08.2019 03:59:49;15.08.2019 02:40:02;22.08.2019 04:00:00;15.08.2019 04:00:09;50 ЛЕТ ПОБЕДЫ;50 LET POBEDY;Service Ship;Icebreaker;1
773549091;309224000;8802868;SEA SPIRIT;C6PJ8;Passenger;60;;A;91;16;Azores;309;FRANZ JOSEPH LAND;08161800;4.30000019073486;16.4201933333333;76.3910916666667;13;113.599998474121;0;108;Under Way Using Engine;0;S-AIS;15.08.2019 03:58:08;15.08.2019 03:37:54;16.08.2019 18:00:00;15.08.2019 03:59:17;;SEA SPIRIT;Passenger Ship;Cruise Ship;1
773572851;309224000;8802868;SEA SPIRIT;C6PJ8;Passenger;60;;A;91;16;Azores;309;FRANZ JOSEPH LAND;08161800;4.30000019073486;16.595;76.3816666666667;13;92;0;0;Under Way Using Engine;0;S-AIS;15.08.2019 04:09:38;15.08.2019 03:37:54;16.08.2019 18:00:00;15.08.2019 04:09:57;;SEA SPIRIT;Passenger Ship;Cruise Ship;27
773574725;273316240;9152959;50 LET POBEDY;UGYU;Passenger;69;No Additional Information;A;160;30;Russian Federation;273;MURMANSK;08220400;10.8000001907349;46.6668666666667;78.3893;17;23;0;21;Under Way Using Engine;0;S-AIS;15.08.2019 04:09:13;15.08.2019 02:40:02;22.08.2019 04:00:00;15.08.2019 04:09:30;50 ЛЕТ ПОБЕДЫ;50 LET POBEDY;Service Ship;Icebreaker;1
773611655;309224000;8802868;SEA SPIRIT;C6PJ8;Passenger;60;;A;91;16;Azores;309;FRANZ JOSEPH LAND;08161800;4.30000019073486;16.785;76.38;13;89;0;0;Under Way Using Engine;0;S-AIS;15.08.2019 04:21:38;15.08.2019 03:37:54;16.08.2019 18:00:00;15.08.2019 04:21:53;;SEA SPIRIT;Passenger Ship;Cruise Ship;27
773636054;273316240;9152959;50 LET POBEDY;UGYU;Passenger;69;No Additional Information;A;160;30;Russian Federation;273;MURMANSK;08220400;10.8000001907349;46.6899333333333;78.4003166666667;17;22.3999996185303;0;21;Under Way Using Engine;0;S-AIS;15.08.2019 04:11:37;15.08.2019 02:40:02;22.08.2019 04:00:00;15.08.2019 04:11:58;50 ЛЕТ ПОБЕДЫ;50 LET POBEDY;Service Ship;Icebreaker;1
773645387;273316240;9152959;50 LET POBEDY;UGYU;Passenger;69;No Additional Information;A;160;30;Russian Federation;273;MURMANSK;08220400;10.8000001907349;46.8586333333333;78.48195;17;23.5;0;22;Under Way Using Engine;0;S-AIS;15.08.2019 04:29:36;15.08.2019 04:10:04;22.08.2019 04:00:00;15.08.2019 04:29:54;50 ЛЕТ ПОБЕДЫ;50 LET POBEDY;Service Ship;Icebreaker;1
773651809;309224000;8802868;SEA SPIRIT;C6PJ8;Passenger;60;;A;91;16;Azores;309;FRANZ JOSEPH LAND;08161800;4.30000019073486;16.8785966666667;76.380995;12;87;0;85;Under Way Using Engine;0;S-AIS;15.08.2019 04:27:48;15.08.2019 03:37:54;16.08.2019 18:00:00;15.08.2019 04:28:04;;SEA SPIRIT;Passenger Ship;Cruise Ship;1
773720230;309224000;8802868;SEA SPIRIT;C6PJ8;Passenger;60;;A;91;16;Azores;309;FRANZ JOSEPH LAND;08161800;4.30000019073486;17.19;76.385;12;85;0;0;Under Way Using Engine;0;S-AIS;15.08.2019 04:48:39;15.08.2019 03:37:54;16.08.2019 18:00:00;15.08.2019 04:48:54;;SEA SPIRIT;Passenger Ship;Cruise Ship;27
